Do cells use passwords in cell-state transitions? Is cell signaling sometimes encrypted?,/pubmed/31175621,Root A.,Theory Biosci. 2019 Jun 7. doi: 10.1007/s12064-019-00295-1. [Epub ahead of print],Theory Biosci.  2019,PubMed,citation,PMID:31175621,pubmed,31175621,create date:2019/06/09 | first author:Root A,
A Fractal-Based Authentication Technique Using Sierpinski Triangles in Smart Devices.,/pubmed/30736448,"Ali A, Rafique H, Arshad T, Alqarni MA, Chauhdary SH, Bashir AK.",Sensors (Basel). 2019 Feb 7;19(3). pii: E678. doi: 10.3390/s19030678.,Sensors (Basel).  2019,PubMed,citation,PMID:30736448 | PMCID:PMC6387263,pubmed,30736448,create date:2019/02/10 | first author:Ali A,
Access to mobile phone and willingness to receive mHealth services among patients with diabetes in Northwest Ethiopia: a cross-sectional study.,/pubmed/30679284,"Jemere AT, Yeneneh YE, Tilahun B, Fritz F, Alemu S, Kebede M.",BMJ Open. 2019 Jan 24;9(1):e021766. doi: 10.1136/bmjopen-2018-021766.,BMJ Open.  2019,PubMed,citation,PMID:30679284 | PMCID:PMC6347931,pubmed,30679284,create date:2019/01/27 | first author:Jemere AT,
Development of three ways molecular logic gate based on water soluble phenazine fluorescent 'selective ion' sensor.,/pubmed/30530066,"Daniel Thangadurai T, Nithya I, Rakkiyanasamy A.",Spectrochim Acta A Mol Biomol Spectrosc. 2019 Mar 15;211:132-140. doi: 10.1016/j.saa.2018.12.006. Epub 2018 Dec 4.,Spectrochim Acta A Mol Biomol Spectrosc.  2019,PubMed,citation,PMID:30530066,pubmed,30530066,create date:2018/12/12 | first author:Daniel Thangadurai T,
People infuse their passwords with autobiographical information.,/pubmed/30373450,"Taylor RJ, Garry M.",Memory. 2019 May;27(5):581-591. doi: 10.1080/09658211.2018.1539499. Epub 2018 Oct 29.,Memory.  2019,PubMed,citation,PMID:30373450,pubmed,30373450,create date:2018/10/31 | first author:Taylor RJ,
Challenges and Future Perspectives on Electroencephalogram-Based Biometrics in Person Recognition.,/pubmed/30356770,"Chan HL, Kuo PC, Cheng CY, Chen YS.",Front Neuroinform. 2018 Oct 9;12:66. doi: 10.3389/fninf.2018.00066. eCollection 2018. Review.,Front Neuroinform.  2018,PubMed,citation,PMID:30356770 | PMCID:PMC6189450,pubmed,30356770,create date:2018/10/26 | first author:Chan HL,
"Sequential displacement strategy for selective and highly sensitive detection of Zn(2+), Hg(2+) and S(2-) ions: An approach toward a molecular keypad lock.",/pubmed/30340207,"Padhan SK, Palei J, Rana P, Murmu N, Sahu SN.",Spectrochim Acta A Mol Biomol Spectrosc. 2019 Feb 5;208:271-284. doi: 10.1016/j.saa.2018.10.016. Epub 2018 Oct 15.,Spectrochim Acta A Mol Biomol Spectrosc.  2019,PubMed,citation,PMID:30340207,pubmed,30340207,create date:2018/10/20 | first author:Padhan SK,
Methodology of a new inflammatory arthritis registry: TReasure,/pubmed/30119164,"Kalyoncu U, Taşcılar EK, Ertenli Aİ, Dalkılıç HE, Bes C, Küçükşahin O, Kaşifoğlu T, Alpay Kanıtez N, Emmungil H, Kimyon G, Yaşar Bilge NŞ, Akar S, Atagündüz MP, Koca SS, Ateş A, Yazısız V, Terzioğlu E, Ersözlü ED, Tufan MA, Çınar M, Mercan R, Şahin A, et al.",Turk J Med Sci. 2018 Aug 16;48(4):856-861. doi: 10.3906/sag-1807-200.,Turk J Med Sci.  2018,PubMed,citation,PMID:30119164,pubmed,30119164,create date:2018/08/19 | first author:Kalyoncu U,
Finger-to-Heart(F2H): Authentication for Wireless Implantable Medical Devices.,/pubmed/30106744,"Zheng G, Yang W, Valli C, Qiao L, Shankaran R, Orgun MA, Mukhopadhyay SC.",IEEE J Biomed Health Inform. 2018 Aug 10. doi: 10.1109/JBHI.2018.2864796. [Epub ahead of print],IEEE J Biomed Health Inform.  2018,PubMed,citation,PMID:30106744,pubmed,30106744,create date:2018/08/15 | first author:Zheng G,
Cytocoded passwords: BioMEMS based barcoding of biological samples for user authentication in microfluidic diagnostic devices.,/pubmed/30066033,"Salles-Loustau G, Le T, Najafizadeh L, Zonouz S, Javanmard M.",Biomed Microdevices. 2018 Jul 31;20(3):63. doi: 10.1007/s10544-018-0306-4.,Biomed Microdevices.  2018,PubMed,citation,PMID:30066033,pubmed,30066033,create date:2018/08/02 | first author:Salles-Loustau G,
