Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Health Insurance Portability and Accountability Act (HIPAA).,/pubmed/29763195,"Edemekong PF, Haydel MJ.",2019 May 5. StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2019 Jan-.,StatPearls.  2019,PubMed,citation,PMID:29763195,pubmed,29763195,create date:2018/05/16 | first author:Edemekong PF,
The case for end-user involvement in design of health technologies.,/pubmed/27799445,"Walker L, Clendon J.",J Telemed Telecare. 2016 Dec;22(8):443-446.,J Telemed Telecare.  2016,PubMed,citation,PMID:27799445,pubmed,27799445,create date:2016/11/02 | first author:Walker L,
Using cloud models of heartbeats as the entity identifier to secure mobile devices.,/pubmed/27681008,"Fu D, Liu Y.",J Med Eng Technol. 2017 Jan;41(1):36-45. Epub 2016 Sep 28.,J Med Eng Technol.  2017,PubMed,citation,PMID:27681008,pubmed,27681008,create date:2016/09/30 | first author:Fu D,
[Construction of a heart team using network attached storage].,/pubmed/25434536,"Fukahara K, Nagura S, Obi H, Yamashiata A, Yoshimura N.",Kyobu Geka. 2014 Dec;67(13):1134-8. Japanese. ,Kyobu Geka.  2014,PubMed,citation,PMID:25434536,pubmed,25434536,create date:2014/12/02 | first author:Fukahara K,
"How to protect valuable patient data. Encryption, passwords essential lines of defense, experts say.",/pubmed/23488397,McBride M.,Med Econ. 2012 Sep 10;89(17):42-4. No abstract available. ,Med Econ.  2012,PubMed,citation,PMID:23488397,pubmed,23488397,create date:2013/03/16 | first author:McBride M,
The importance of a database in the management of healthcare services.,/pubmed/23386018,"de Andrade CT, Magedanz AM, Escobosa DM, Tomaz WM, Santinho CS, Lopes TO, Lombardo V.","Einstein (Sao Paulo). 2012 Jul-Sep;10(3):360-5. English, Portuguese. ",Einstein (Sao Paulo).  2012,PubMed,citation,PMID:23386018,pubmed,23386018,create date:2013/02/07 | first author:de Andrade CT,
Passwords.,/pubmed/22536701,[No authors listed],HDA Now. 2012 Winter:25. No abstract available. ,HDA Now.  2012,PubMed,citation,PMID:22536701,pubmed,22536701,create date:2012/04/28,
Implementing a mandatory password change policy at an academic medical institution.,/pubmed/18693985,"Brogan MW, Lin CP, Pai R, Kalet IJ.",AMIA Annu Symp Proc. 2007 Oct 11:884.,AMIA Annu Symp Proc.  2007,PubMed,citation,PMID:18693985,pubmed,18693985,create date:2008/08/13 | first author:Brogan MW,
A molecular keypad lock: a photochemical device capable of authorizing password entries.,/pubmed/17212414,"Margulies D, Felder CE, Melman G, Shanzer A.",J Am Chem Soc. 2007 Jan 17;129(2):347-54.,J Am Chem Soc.  2007,PubMed,citation,PMID:17212414,pubmed,17212414,create date:2007/01/11 | first author:Margulies D,
Random multispace quantization as an analytic mechanism for BioHashing of biometric and random identity inputs.,/pubmed/17108365,"Teoh AB, Goh A, Ngo DC.",IEEE Trans Pattern Anal Mach Intell. 2006 Dec;28(12):1892-901.,IEEE Trans Pattern Anal Mach Intell.  2006,PubMed,citation,PMID:17108365,pubmed,17108365,create date:2006/11/17 | first author:Teoh AB,
Evaluation of the KA24 (Knowledge Access 24) service for health and social care staff in London and the south-east of England. Part 2: qualitative.,/pubmed/16911122,"Urquhart C, Durbin J, Cumbers B.",Health Info Libr J. 2006 Sep;23(3):159-68.,Health Info Libr J.  2006,PubMed,citation,PMID:16911122,pubmed,16911122,create date:2006/08/17 | first author:Urquhart C,
Internet and cardiovascular research: the present and its future potentials and limits.,/pubmed/16754052,[No authors listed],Minim Invasive Ther Allied Technol. 2002 Mar;11(2):73-5.,Minim Invasive Ther Allied Technol.  2002,PubMed,citation,PMID:16754052,pubmed,16754052,create date:2006/06/07,
Work practice changes caused by the introduction of a picture archiving and communication system.,/pubmed/16375815,"Yu P, Hilton P.",J Telemed Telecare. 2005;11 Suppl 2:S104-7.,J Telemed Telecare.  2005,PubMed,citation,PMID:16375815,pubmed,16375815,create date:2005/12/27 | first author:Yu P,
An e-resource to coordinate research activity with the Readiness for Interprofessional Learning Scale (RIPLS).,/pubmed/16373216,"Mattick K, Bligh J.",J Interprof Care. 2005 Dec;19(6):604-13.,J Interprof Care.  2005,PubMed,citation,PMID:16373216,pubmed,16373216,create date:2005/12/24 | first author:Mattick K,
High and dry.,/pubmed/16318073,Buckis C.,Nurs Stand. 2005 Nov 16-22;20(10):24-5.,Nurs Stand.  2005,PubMed,citation,PMID:16318073,pubmed,16318073,create date:2005/12/02 | first author:Buckis C,
[The use of bibliographic databases by Spanish-speaking Latin American biomedical researchers: a cross-sectional study].,/pubmed/15969974,"Ospina EG, Reveiz Herault L, Cardona AF.",Rev Panam Salud Publica. 2005 Apr;17(4):230-6. Spanish. ,Rev Panam Salud Publica.  2005,PubMed,citation,PMID:15969974,pubmed,15969974,create date:2005/06/23 | first author:Ospina EG,
[Experience with electronic files in a university neonatology unit].,/pubmed/15824836,"Aguila A, Valenzuela P.",Rev Med Chil. 2005 Feb;133(2):241-5. Epub 2005 Apr 7. Spanish. ,Rev Med Chil.  2005,PubMed,citation,PMID:15824836,pubmed,15824836,create date:2005/04/13 | first author:Aguila A,
Preventing employee theft: 15 techniques for preventing bookkeeping embezzlement.,/pubmed/15672898,Hills LS.,J Med Pract Manage. 2004 Nov-Dec;20(3):126-9.,J Med Pract Manage.  2004,PubMed,citation,PMID:15672898,pubmed,15672898,create date:2005/01/28 | first author:Hills LS,
"Web-based learning in residents' continuity clinics: a randomized, controlled trial.",/pubmed/15618102,"Cook DA, Dupras DM, Thompson WG, Pankratz VS.",Acad Med. 2005 Jan;80(1):90-7.,Acad Med.  2005,PubMed,citation,PMID:15618102,pubmed,15618102,create date:2004/12/25 | first author:Cook DA,
Biometric and single-sign-on technologies cure the passwords 'haddock'.,/pubmed/15568573,Siwicki B.,Health Data Manag. 2004 Sep;12(9):8. No abstract available. ,Health Data Manag.  2004,PubMed,citation,PMID:15568573,pubmed,15568573,create date:2004/12/01 | first author:Siwicki B,
Informatics in Radiology (infoRAD): personal computer security: part 2. Software Configuration and file protection.,/pubmed/15371625,Caruso RD.,Radiographics. 2004 Sep-Oct;24(5):1503-12. Review. Erratum in: Radiographics. 2004 Nov-Dec;24(6):1610. ,Radiographics.  2004,PubMed,citation,PMID:15371625,pubmed,15371625,create date:2004/09/17 | first author:Caruso RD,
Smart cards may make passwords passé.,/pubmed/15187725,Bornhor KP.,Nursing. 2004 Jun;34(6):73. No abstract available. ,Nursing.  2004,PubMed,citation,PMID:15187725,pubmed,15187725,create date:2004/06/10 | first author:Bornhor KP,
Biometric verification with correlation filters.,/pubmed/14735958,"Vijaya Kumar BV, Savvides M, Xie C, Venkataramani K, Thornton J, Mahalanobis A.",Appl Opt. 2004 Jan 10;43(2):391-402.,Appl Opt.  2004,PubMed,citation,PMID:14735958,pubmed,14735958,create date:2004/01/23 | first author:Vijaya Kumar BV,
A wireless diabetes management and communication system.,/pubmed/14511424,"Vigersky RA, Hanson E, McDonough E, Rapp T, Pajak J, Galen RS.",Diabetes Technol Ther. 2003;5(4):695-702.,Diabetes Technol Ther.  2003,PubMed,citation,PMID:14511424,pubmed,14511424,create date:2003/09/27 | first author:Vigersky RA,
"Personal computer security: part 1. Firewalls, antivirus software, and Internet security suites.",/pubmed/12975519,Caruso RD.,Radiographics. 2003 Sep-Oct;23(5):1329-37.,Radiographics.  2003,PubMed,citation,PMID:12975519,pubmed,12975519,create date:2003/09/17 | first author:Caruso RD,
[Use of computers as a tool for the implementation of the nursing process].,/pubmed/12836448,"Crossetti Mda G, Rodegheri M, d'Avila ML, Dias VL.",Rev Bras Enferm. 2002 Nov-Dec;55(6):705-8. Portuguese. ,Rev Bras Enferm.  2002,PubMed,citation,PMID:12836448,pubmed,12836448,create date:2003/07/03 | first author:Crossetti Mda G,
Rx for password headaches. Biometric authentication solution lets physicians be their passwords.,/pubmed/12564143,Peck B.,Health Manag Technol. 2003 Jan;24(1):50-2. No abstract available. ,Health Manag Technol.  2003,PubMed,citation,PMID:12564143,pubmed,12564143,create date:2003/02/05 | first author:Peck B,
Improving computer security for authentication of users: influence of proactive password restrictions.,/pubmed/12109007,"Proctor RW, Lien MC, Vu KP, Schultz EE, Salvendy G.",Behav Res Methods Instrum Comput. 2002 May;34(2):163-9.,Behav Res Methods Instrum Comput.  2002,PubMed,citation,PMID:12109007,pubmed,12109007,create date:2002/07/12 | first author:Proctor RW,
Dynamic multiphosphorylation passwords for activity-dependent gene expression.,/pubmed/11970860,"Deisseroth K, Tsien RW.",Neuron. 2002 Apr 11;34(2):179-82. Review.,Neuron.  2002,PubMed,citation,PMID:11970860,pubmed,11970860,create date:2002/04/24 | first author:Deisseroth K,
One finger vs. many passwords.,/pubmed/11963412,Briggs B.,Health Data Manag. 2002 Apr;10(4):32-4. No abstract available. ,Health Data Manag.  2002,PubMed,citation,PMID:11963412,pubmed,11963412,create date:2002/04/20 | first author:Briggs B,
"A randomized, controlled trial of clinical information shared from another institution.",/pubmed/11782726,"Overhage JM, Dexter PR, Perkins SM, Cordell WH, McGoff J, McGrath R, McDonald CJ.",Ann Emerg Med. 2002 Jan;39(1):14-23.,Ann Emerg Med.  2002,PubMed,citation,PMID:11782726,pubmed,11782726,create date:2002/01/10 | first author:Overhage JM,
When passwords aren't enough.,/pubmed/11188196,Butler J.,Healthc Inform. 2000 Nov;17(11):112. No abstract available. ,Healthc Inform.  2000,PubMed,citation,PMID:11188196,pubmed,11188196,create date:2001/02/24 | first author:Butler J,
The sleep data transfer between remote and central sites.,/pubmed/11151601,"Escourrou P, Reddy K, Courtois J, Morvan C.",Stud Health Technol Inform. 2000;78:299-310.,Stud Health Technol Inform.  2000,PubMed,citation,PMID:11151601,pubmed,11151601,create date:2001/01/11 | first author:Escourrou P,
[Sem: a suitable statistical software adaptated for research in oncology].,/pubmed/11084535,"Kwiatkowski F, Girard M, Hacene K, Berlie J.",Bull Cancer. 2000 Oct;87(10):715-21. French. ,Bull Cancer.  2000,PubMed,citation,PMID:11084535,pubmed,11084535,create date:2000/11/21 | first author:Kwiatkowski F,
Criteria for software evaluation: legal issues.,/pubmed/10418430,Bergren MD.,J Sch Nurs. 1999 Apr;15(2):32-3.,J Sch Nurs.  1999,PubMed,citation,PMID:10418430,pubmed,10418430,create date:1999/07/27 | first author:Bergren MD,
WWW accessible system for national/regional registries of clinical results of cord blood transplants: a tool to facilitate cooperative clinical research.,/pubmed/9949627,"Fernández MN, Pascual M, Bañas MH, Bravo G, Salvador CH.",Haematologica. 1998 Dec;83(12):1099-103.,Haematologica.  1998,PubMed,citation,PMID:9949627,pubmed,9949627,create date:1999/02/09 | first author:Fernández MN,
Access control for electronic patient records.,/pubmed/10186418,Glagola MJ.,Radiol Manage. 1998 Sep-Oct;20(5):44-50.,Radiol Manage.  1998,PubMed,citation,PMID:10186418,pubmed,10186418,create date:1998/08/05 | first author:Glagola MJ,
Implementation of a hypertext-based curriculum for emergency medicine on the World Wide Web.,/pubmed/9408433,"Savitt DL, Steele DW.",Acad Emerg Med. 1997 Dec;4(12):1159-62.,Acad Emerg Med.  1997,PubMed,citation,PMID:9408433,pubmed,9408433,create date:1997/12/31 | first author:Savitt DL,
Panel calls for improved security for medical records.,/pubmed/11364165,[No authors listed],AIDS Policy Law. 1997 Mar 21;12(5):3.,AIDS Policy Law.  1997,PubMed,citation,PMID:11364165,pubmed,11364165,create date:1997/03/21,
Passwords aren't enough.,/pubmed/10166766,Hays M.,Healthc Inform. 1997 Apr;14(4):102. No abstract available. ,Healthc Inform.  1997,PubMed,citation,PMID:10166766,pubmed,10166766,create date:1997/03/08 | first author:Hays M,
